,Zusammenfassung,Min_Kompressionsrate,Max_Kompressionsrate,Endgueltige_Kompressionsrate,länge Zusammenfassung,länge Ausgangstext,text,text_rank_text,tokens_gesamt,token_text_rank,desired_compression_rate,text_rank_compression_rate,current_compression_rate,compression_difference,reduction_multiplier,ent_com_rate
10,"Imran Khan calls for a future of ""real democracy"" in the country. Khan led a campaign to oust Nawaz Sharif as the Prime Minister.",53,103,47.05882352941176,24,51,"Pakistan's Opposition leader Imran Khan has called for a future of ""real democracy"" in the country, following the dismissal of Nawaz Sharif as the Prime Minister by the country's Supreme Court. ""This is not a democracy but monarchy. And that is why Pakistan has been left behind developed nations,"" Khan who led a campaign to oust Sharif said.","Pakistan's Opposition leader Imran Khan has called for a future of ""real democracy"" in the country, following the dismissal of Nawaz Sharif as the Prime Minister by the country's Supreme Court. And that is why Pakistan has been left behind developed nations,"" Khan who led a campaign to oust Sharif said.",58,51,0.35,0.8793103448275862,0.8793103448275862,-0.5293103448275862,0.3980392156862745,0.41379310344827586
11,"Actress Manisha Koirala said that Alia Bhatt is brilliant and super-talented. She added, ""I thought she was flawless and I'd love to work with her someday"" Manisha further said that Ranbir Kapoor is one of the finest talents in the film industry.",58,108,75.0,42,56,"Actress Manisha Koirala has said that Alia Bhatt is brilliant and super-talented and she loved her in films like 'Udta Punjab' and 'Dear Zindagi'. She added, ""I thought she was flawless and I'd love to work with her someday."" Meanwhile, Manisha further said that Ranbir Kapoor is one of the finest talents in the film industry.","Actress Manisha Koirala has said that Alia Bhatt is brilliant and super-talented and she loved her in films like 'Udta Punjab' and 'Dear Zindagi'. She added, ""I thought she was flawless and I'd love to work with her someday."" Meanwhile, Manisha further said that Ranbir Kapoor is one of the finest talents in the film industry.",56,56,0.77,1.0,1.0,-0.22999999999999998,0.77,0.75
12,India has participated in a tank race competition in Russia along with 18 other countries. This is the third time India participated in the event but it's their first with own T-90 tanks. The competition simulates actual battlefield conditions involving challenges like high-speed driving.,63,113,73.33333333333333,44,60,An Indian Army team has participated in a tank race competition in Russia along with 18 other countries. This is the third time India participated in the event but it's their first with own T-90 tanks. The competition simulates actual battlefield conditions involving challenges like high-speed driving and switching from one mode of operation to another at a fast pace.,An Indian Army team has participated in a tank race competition in Russia along with 18 other countries. This is the third time India participated in the event but it's their first with own T-90 tanks. The competition simulates actual battlefield conditions involving challenges like high-speed driving and switching from one mode of operation to another at a fast pace.,60,60,0.8,1.0,1.0,-0.19999999999999996,0.8,0.7333333333333333
13,Daifa-e-Pakistan carried out rallies in Pakistan to boost terrorism in Jammu and Kashmir. Over 30 religious and jihadi groups have reportedly come together to form Daifa- e-,27,77,103.84615384615385,27,26,"Over 30 religious and jihadi groups have reportedly come together to form Daifa-e-Pakistan that carried out rallies in Pakistan to boost terrorism in Jammu and Kashmir. The aim of the movement is to create a new force of terrorism and channel it against India, reports claimed. The participants allegedly included the leaders of banned terror groups like Lashkar-e-Taiba, Hizbul Mujahideen.",Over 30 religious and jihadi groups have reportedly come together to form Daifa-e-Pakistan that carried out rallies in Pakistan to boost terrorism in Jammu and Kashmir.,60,26,0.23,0.43333333333333335,0.43333333333333335,-0.20333333333333334,0.5307692307692308,0.45
14,Etihad Airways aircraft carrying nearly 200 passengers suffered a tyre burst upon landing. Mumbai airport authorities shut operations at the main runway on Monday evening. The Abu Dhabi-Mumbai flight got stuck in the middle of the runway. operations were shifted to the secondary runway.,51,101,89.79591836734694,44,49,"An Etihad Airways aircraft carrying nearly 200 passengers suffered a tyre burst upon landing, forcing Mumbai airport authorities to shut operations at the main runway on Monday evening. The Abu Dhabi-Mumbai flight got stuck in the middle of the runway, following which operations were shifted to the secondary runway. Notably, the two runways at Mumbai airport intersect each other. ","An Etihad Airways aircraft carrying nearly 200 passengers suffered a tyre burst upon landing, forcing Mumbai airport authorities to shut operations at the main runway on Monday evening. The Abu Dhabi-Mumbai flight got stuck in the middle of the runway, following which operations were shifted to the secondary runway.",60,49,0.72,0.8305084745762712,0.8166666666666667,-0.09666666666666668,0.8816326530612245,0.7333333333333333
15,"Former Australian PM Tony Abbott has sent a signed cricket bat for PM Narendra Modi, reportedly through an Indian residing in Australia. Manpreet Singh, who is carrying the bat along with pictures of Abbott signing it, has been visiting the PMO but has not met Modi yet.",51,101,95.91836734693877,47,49,"Former Australian PM Tony Abbott has sent a signed cricket bat for PM Narendra Modi, reportedly through an Indian residing in Australia. The man, Manpreet Singh, who is carrying the bat along with pictures of Abbott signing it, has been visiting the PMO but has not met Modi yet. Abbott has reportedly addressed Modi as ""Narendra"" on the bat.","Former Australian PM Tony Abbott has sent a signed cricket bat for PM Narendra Modi, reportedly through an Indian residing in Australia. The man, Manpreet Singh, who is carrying the bat along with pictures of Abbott signing it, has been visiting the PMO but has not met Modi yet.",59,49,0.56,0.8305084745762712,0.8305084745762712,-0.27050847457627114,0.6742857142857144,0.7966101694915254
16,"Crew put a bag in the water after failing to stop the smoke with a fire extinguisher. Upon investigation, the crew found a lithium battery pack and two mobile phones.",34,84,90.9090909090909,30,33,"Cabin crew on a  Kochi-Colombo SriLankan Airlines flight extinguished a mid-flight fire suspected to have been caused by a phone in an overhead locker. The crew put a bag in the water after failing to stop the smoke with a fire extinguisher. Upon investigation, the crew found a lithium battery pack and two mobile phones in it.","The crew put a bag in the water after failing to stop the smoke with a fire extinguisher. Upon investigation, the crew found a lithium battery pack and two mobile phones in it.",58,33,0.43,0.5789473684210527,0.5689655172413793,-0.13896551724137934,0.7557575757575757,0.5172413793103449
17,Congress MLA Surjit Dhiman has slammed the CM Captain Amarinder Singh-led government over the inactive anti-drug drive.,23,73,77.27272727272727,17,22,"Punjab Congress MLA Surjit Dhiman has slammed the CM Captain Amarinder Singh-led government over the inactive anti-drug drive initiated in the state. Claiming that ""chitta"" (drugs) was ""easily available in every nook and corner,"" he said the state-sponsored anti-drug drive was ""effective for only the first 15 days of government."" ",Punjab Congress MLA Surjit Dhiman has slammed the CM Captain Amarinder Singh-led government over the inactive anti-drug drive initiated in the state.,51,22,0.37,0.44,0.43137254901960786,-0.06137254901960787,0.8577272727272727,0.3333333333333333
18,"Delhi government stops grants to 28 Delhi University colleges. The varsity's failure to form their governing bodies led to the decision. ""I cannot allow unchecked corruption and irregularities to be sustained on Delhi govt funds in the name of education,"" says Delhi Chief Minister.",44,94,104.76190476190477,44,42,"The Delhi government on Monday decided to stop grants to 28 Delhi University colleges following the varsity's failure to form their governing bodies. ""I cannot allow unchecked corruption and irregularities to be sustained on Delhi govt funds in the name of education,? Deputy CM Manish Sisodia tweeted. Twelve out of the 28 colleges are fully funded by the Delhi government.","The Delhi government on Monday decided to stop grants to 28 Delhi University colleges following the varsity's failure to form their governing bodies. ""I cannot allow unchecked corruption and irregularities to be sustained on Delhi govt funds in the name of education,?",60,42,0.6,0.7,0.7,-0.09999999999999998,0.8571428571428572,0.7333333333333333
19,"Kharge blames the BJP-led NDA government in the Lok Sabha for encouraging cow vigilantism. Congress leader Mallikarjun Kharge said, ""Don't make lynchistan out of Hindustan""",28,78,92.5925925925926,25,27,"Congress leader Mallikarjun Kharge on Monday said, ""Don't make lynchistan out of Hindustan"" and blamed the BJP-led NDA government in the Lok Sabha for encouraging cow vigilantism. Pointing to incidents of mob violence in Jharkhand, Madhya Pradesh, Rajasthan and Uttar Pradesh, he slammed Prime Minister Narendra Modi for not addressing the killings on 'Mann Ki Baat' programme.","Congress leader Mallikarjun Kharge on Monday said, ""Don't make lynchistan out of Hindustan"" and blamed the BJP-led NDA government in the Lok Sabha for encouraging cow vigilantism.",57,27,0.47,0.47368421052631576,0.47368421052631576,-0.00368421052631579,0.9922222222222222,0.43859649122807015
20,"44,000 toilets need to be built daily by the Uttar Pradesh government to make the state open defecation free (ODF) by October 2, 2018, Chief Secretary Rajiv Kumar said on Monday. He further directed district magistrates to speed up the construction work.",60,110,72.41379310344827,42,58,"Around 44,000 toilets need to be built daily by the Uttar Pradesh government to make the state open defecation free (ODF) by October 2, 2018, Chief Secretary Rajiv Kumar said on Monday. He further directed district magistrates to speed up the construction work and said they should devote at least half an hour daily to monitor the progress. ","Around 44,000 toilets need to be built daily by the Uttar Pradesh government to make the state open defecation free (ODF) by October 2, 2018, Chief Secretary Rajiv Kumar said on Monday. He further directed district magistrates to speed up the construction work and said they should devote at least half an hour daily to monitor the progress.",59,58,0.61,1.0,0.9830508474576272,-0.3730508474576272,0.6205172413793103,0.711864406779661
21,"The flag, which is visible from Pakistan, was taken down in April by the Amritsar administration after it was repeatedly damaged by high-velocity winds. India's tallest Tricolour is 360-feet tall and has not been hoisted at the Indo-Pakistan border for three months.",46,96,95.45454545454545,42,44,"India's tallest Tricolour, which is 360-feet tall, has not been hoisted at the Indo-Pakistan border for the last three months.The flag, which is visible from Pakistan, was taken down in April by the Amritsar administration after it was repeatedly damaged by high-velocity winds. Every time the flag is brought down, it brings 'embarrassment' to all, officials maintaining the flag said.","India's tallest Tricolour, which is 360-feet tall, has not been hoisted at the Indo-Pakistan border for the last three months. The flag, which is visible from Pakistan, was taken down in April by the Amritsar administration after it was repeatedly damaged by high-velocity winds.",60,44,0.6,0.7333333333333333,0.7333333333333333,-0.1333333333333333,0.8181818181818182,0.7
22,The authority had earlier waived off property tax for malls on the condition that they provide free basement parking.,19,69,100.0,19,19,The Municipal Corporation of Gurugram has put up 'free parking' signboards at entry points of several malls on MG Road. The authority had earlier waived off property tax for malls on the condition that they provide free basement parking. The decision to place the signboards comes after the MCG received complaints that the malls were continuing to charge for parking. ,The authority had earlier waived off property tax for malls on the condition that they provide free basement parking.,61,19,0.28,0.31666666666666665,0.3114754098360656,-0.03147540983606556,0.8989473684210527,0.3114754098360656
23,BJP President Amit Shah filed his nomination papers for the upcoming Rajya Sabha polls on Friday. Shah said he would not quit from the post of party President even if elected to the Rajaya Sabha from Gujarat.,43,93,90.2439024390244,37,41,"Bharatiya Janata Party chief Amit Shah on Monday said he would not quit from the post of party President even if elected to the Rajya Sabha from Gujarat. ""I am very happy with my job and discharging my responsibilities with full devotion,"" he added. Shah filed his nomination papers for the upcoming Rajya Sabha polls on Friday.",Bharatiya Janata Party chief Amit Shah on Monday said he would not quit from the post of party President even if elected to the Rajya Sabha from Gujarat. Shah filed his nomination papers for the upcoming Rajya Sabha polls on Friday.,57,41,0.66,0.7192982456140351,0.7192982456140351,-0.05929824561403507,0.9175609756097561,0.6491228070175439
24,Anthony Scaramucci was appointed White House communications director. He launched a foul-mouthed tirade against two senior colleagues last week. The Harvard law graduate and former Wall Street financier has been removed from his job within the first 10 days of his appointment.,51,101,85.71428571428571,42,49,"White House communications director Anthony Scaramucci has been removed from his job within the first 10 days of his appointment. This comes after Scaramucci, a Harvard law graduate and former Wall Street financier, launched a foul-mouthed tirade against two of his senior colleagues at the White House last week. ""The president felt his comments were inappropriate,"" Trump's spokeswoman said.","White House communications director Anthony Scaramucci has been removed from his job within the first 10 days of his appointment. This comes after Scaramucci, a Harvard law graduate and former Wall Street financier, launched a foul-mouthed tirade against two of his senior colleagues at the White House last week.",59,49,0.79,0.8305084745762712,0.8305084745762712,-0.04050847457627116,0.9512244897959184,0.711864406779661
25,The bullets were detected by a CISF personnel when his bag was being screened in the X-ray machine. The 18-year-old was handed over to the police for not having a government-issued document for possessing arms.,60,110,60.3448275862069,35,58,An 18-year-old from Bareilly was detained on Sunday for carrying three live bullets in his bag at Delhi's Kailash Colony Metro station. The bullets were detected by a CISF personnel when his bag was being screened in the X-ray machine. He was handed over to the police for not having a government-issued document for possessing arms and ammunitions.,An 18-year-old from Bareilly was detained on Sunday for carrying three live bullets in his bag at Delhi's Kailash Colony Metro station. The bullets were detected by a CISF personnel when his bag was being screened in the X-ray machine. He was handed over to the police for not having a government-issued document for possessing arms and ammunitions.,58,58,0.78,1.0,1.0,-0.21999999999999997,0.78,0.603448275862069
26,Kiren Rijiju said that the PM should break the federal structure and take over state machinery. The statement led to an uproar in the Parliament. Congress MP Mallikarjun Kharge criticised the PM for not talking about the issue enough.,63,113,65.0,39,60,"Minister of State for Home Affairs, Kiren Rijiju while discussing the recent incidents of mob lynching in Parliament said, ""Do you want the PM should break the federal structure and take over state machinery?"" The statement which led to an uproar in the Parliament came after Congress MP Mallikarjun Kharge criticised the PM for not talking about the issue enough. ","Minister of State for Home Affairs, Kiren Rijiju while discussing the recent incidents of mob lynching in Parliament said, ""Do you want the PM should break the federal structure and take over state machinery?"" The statement which led to an uproar in the Parliament came after Congress MP Mallikarjun Kharge criticised the PM for not talking about the issue enough.",61,60,0.57,1.0,0.9836065573770492,-0.4136065573770492,0.5795,0.639344262295082
27,"GJM has given the Centre 10 days to intervene in the ongoing agitation for the separate state of Gorkhaland. If the Centre does not intervene, the G",32,82,87.09677419354838,27,31,"The Gorkha Janmukti Morcha (GJM) has given the Centre 10 days to intervene in the ongoing agitation for the separate state of Gorkhaland, failing which it threatened to intensify the protests. ""An indefinite shutdown is going on for the last 47 days. The Centre can't just sit idle when the hills are burning,"" GJM leaders said. ","The Gorkha Janmukti Morcha (GJM) has given the Centre 10 days to intervene in the ongoing agitation for the separate state of Gorkhaland, failing which it threatened to intensify the protests.",57,31,0.23,0.5535714285714286,0.543859649122807,-0.31385964912280706,0.4229032258064516,0.47368421052631576
28,"Maharashtra government plans to introduce cycling tracks along arterial roads of 10 cities including Pune, Nagpur, Nashik, and Latur.",25,75,79.16666666666666,19,24,"The Maharashtra government is planning to introduce cycling tracks along the arterial roads of 10 cities including Pune, Nagpur, Nashik, and Latur, reports said. A four-member committee has been constituted for designing the cycling track routes. ""The cycling tracks will not only reduce traffic, but will also considerably lessen environmental pollution,"" a Public Works Department official said. ","The Maharashtra government is planning to introduce cycling tracks along the arterial roads of 10 cities including Pune, Nagpur, Nashik, and Latur, reports said.",58,24,0.2,0.42105263157894735,0.41379310344827586,-0.21379310344827585,0.4833333333333334,0.3275862068965517
29,"Original Rado watches cost over ?1 lakh, the copies seized were meant to be sold in the market for ?4,000-5,000.",22,72,95.23809523809523,20,21,"Several copies of Rado watches, sunglasses, and cameras worth ?10 crore were seized on Thursday by the Directorate of Revenue Intelligence at Delhi's Indira Gandhi International Airport. While original Rado watches cost over ?1 lakh, the copies seized were meant to be sold in the market for ?4,000-5,000. The consignment from China was to be received in Delhi.","While original Rado watches cost over ?1 lakh, the copies seized were meant to be sold in the market for ?4,000-5,000.",58,21,0.28,0.3620689655172414,0.3620689655172414,-0.08206896551724135,0.7733333333333334,0.3448275862068966
30,Chhattisgarh Chief Minister Raman Singh announced that ambulance service for cows will be started in 10 districts of the state over the next few months. He also urged people to support organic farming and biogas in order to promote a cow-based economy.,63,113,70.0,42,60,"Chhattisgarh Chief Minister Raman Singh on Sunday announced that ambulance service for cows will be started in 10 districts of the state over the next few months. He also urged people to support organic farming and biogas in order to promote a cow-based economy. Earlier this year, Singh had said that anyone found killing cows in Chhattisgarh will be hanged.","Chhattisgarh Chief Minister Raman Singh on Sunday announced that ambulance service for cows will be started in 10 districts of the state over the next few months. He also urged people to support organic farming and biogas in order to promote a cow-based economy. Earlier this year, Singh had said that anyone found killing cows in Chhattisgarh will be hanged.",60,60,0.76,1.0,1.0,-0.24,0.76,0.7
31,Aam Aadmi Sena members reportedly took a leaking cylinder to four CNG checking centres across Delhi. Ousted AAP minister Kapil Mishra released a sting operation on Monday.,45,95,62.7906976744186,27,43,Ousted AAP minister Kapil Mishra released a sting operation on Monday alleging that the Kejriwal government is involved in a CNG kit scam. Aam Aadmi Sena members reportedly took a leaking cylinder to four CNG checking centres across Delhi and got it cleared. Mishra has given an ultimatum of 4 days for the Delhi government to respond.,Ousted AAP minister Kapil Mishra released a sting operation on Monday alleging that the Kejriwal government is involved in a CNG kit scam. Aam Aadmi Sena members reportedly took a leaking cylinder to four CNG checking centres across Delhi and got it cleared.,57,43,0.38,0.7543859649122807,0.7543859649122807,-0.3743859649122807,0.5037209302325582,0.47368421052631576
32,"US Ambassador Nikki Haley said that Venezuela is heading towards a dictatorship. Haley also threatened strong and swift action against the ""architects of authoritarianism""",35,85,70.58823529411765,24,34,"Calling Venezuela's recent Constituent Assembly election a ""sham"", US Ambassador Nikki Haley said that Venezuela is heading towards a dictatorship. Haley also threatened strong and swift action against the ""architects of authoritarianism"" in Venezuela. She added that the US stands by Venezuelans and their constitutional representatives to restore their country to a full and prosperous democracy.","Calling Venezuela's recent Constituent Assembly election a ""sham"", US Ambassador Nikki Haley said that Venezuela is heading towards a dictatorship. Haley also threatened strong and swift action against the ""architects of authoritarianism"" in Venezuela.",56,34,0.42,0.6071428571428571,0.6071428571428571,-0.1871428571428571,0.691764705882353,0.42857142857142855
33,"Actor Akshay Kumar has said that talking about toilets is still considered a taboo in India. He added, ""It's also about the mindset. In places where I've gone, I heard people saying, 'We don't do it (defecate) in the same house where we cook food'",63,113,75.0,45,60,"Actor Akshay Kumar has said that talking about toilets is still considered a taboo in India. He added, ""It's also about the mindset. In places where I've gone, I heard people saying, 'We don't do it (defecate) in the same house where we cook food'. But how can they openly defecate on the field, from where the food is coming?""","Actor Akshay Kumar has said that talking about toilets is still considered a taboo in India. He added, ""It's also about the mindset. In places where I've gone, I heard people saying, 'We don't do it (defecate) in the same house where we cook food'. But how can they openly defecate on the field, from where the food is coming?""",60,60,0.74,1.0,1.0,-0.26,0.74,0.75
34,Three top professors at the All India Institute of Medical Sciences (AIIMS) Delhi resigned over the last six months for better pay packages.,48,98,50.0,23,46,"Three top professors at the All India Institute of Medical Sciences (AIIMS) Delhi resigned over the last six months for better pay packages. ""In last three years, approximately 17 young faculty members have resigned because of poor salary and non-availability of accommodation,"" a faculty member said. Notably, Assistant Professors' existing pay band and grade pay at AIIMS is ?15,900-?39,100.","Three top professors at the All India Institute of Medical Sciences (AIIMS) Delhi resigned over the last six months for better pay packages. ""In last three years, approximately 17 young faculty members have resigned because of poor salary and non-availability of accommodation,"" a faculty member said.",59,46,0.39,0.7796610169491526,0.7796610169491526,-0.38966101694915256,0.5002173913043478,0.3898305084745763
35,The temple in Mumbai's Byculla has installed a 37.5-kilowatt rooftop solar system with 115 panels. The system will enable it to cut down its annual electricity bill by ?8 lakh.,31,81,100.0,30,30,"A 190-year-old temple in Mumbai's Byculla has installed a 37.5-kilowatt rooftop solar system with 115 panels which will enable it to cut down its annual electricity bill by ?8 lakh. The temple management will reportedly install more panels by the end of this year. Notably, about 20 religious institutions in Mumbai have switched to solar power.",A 190-year-old temple in Mumbai's Byculla has installed a 37.5-kilowatt rooftop solar system with 115 panels which will enable it to cut down its annual electricity bill by ?8 lakh.,56,30,0.53,0.5357142857142857,0.5357142857142857,-0.005714285714285672,0.9893333333333334,0.5357142857142857
36,Bihar BJP MP Hukumdev Narayan Yadav claimed that majority of Muslims in India are descendants of Hindus. Yadav added both communities should respect each other's sentiments.,35,85,76.47058823529412,26,34,"Quoting BJP idealogue Deen Dayal Upadhyaya, Bihar BJP MP Hukumdev Narayan Yadav on Monday claimed that majority of Muslims in India are descendants of Hindus, and added both communities should respect each other's sentiments. Pointing out that freedom fighters like Maulana Azad used to sing 'Vande Mataram', he said it has now become a crime to sing the national song.","Quoting BJP idealogue Deen Dayal Upadhyaya, Bihar BJP MP Hukumdev Narayan Yadav on Monday claimed that majority of Muslims in India are descendants of Hindus, and added both communities should respect each other's sentiments.",60,34,0.46,0.5666666666666667,0.5666666666666667,-0.10666666666666663,0.8117647058823529,0.43333333333333335
37,"The highest point in the UK is 1,732 feet above sea level. It was named by Guinness Book of World Records as the highest in UK in 1976.",25,75,116.66666666666667,28,24,"A 17th-century pub, holding the record for being the highest in the UK, is going on sale for £900,000 (nearly ?7.6 crore). It stands 1,732 feet above sea level and was named the highest in the UK by the Guinness Book of World Records in 1976. The landlady said the new owner will need to have stamina, eccentricity, and love.","It stands 1,732 feet above sea level and was named the highest in the UK by the Guinness Book of World Records in 1976.",60,24,0.24,0.4,0.4,-0.16000000000000003,0.6,0.4666666666666667
38,"Pakistan's interim Prime Minister nominee Shahid Abbasi faces an inquiry over corruption in an over ?13,000-crore LNG (Liquefied natural gas) contract.",31,81,70.0,21,30,"Pakistan's interim Prime Minister nominee Shahid Abbasi, who most recently served as the country's Petroleum Minister, faces an inquiry over corruption in an over ?13,000-crore LNG (Liquefied natural gas) contract. Abbasi is accused of misusing his authority and causing a potential loss of ?12,000 crore to the national exchequer over 15 years.","Pakistan's interim Prime Minister nominee Shahid Abbasi, who most recently served as the country's Petroleum Minister, faces an inquiry over corruption in an over ?13,000-crore LNG (Liquefied natural gas) contract.",52,30,0.55,0.5769230769230769,0.5769230769230769,-0.026923076923076827,0.9533333333333335,0.40384615384615385
