,Zusammenfassung,Min_Kompressionsrate,Max_Kompressionsrate,Endgueltige_Kompressionsrate,länge Zusammenfassung,länge Ausgangstext,text,text_rank_text,tokens_gesamt,token_text_rank,desired_compression_rate,text_rank_compression_rate,current_compression_rate,compression_difference,reduction_multiplier,ent_com_rate
10,"Food Safety and Standards Authority of India (FSSAI) is planning to create a network to collect leftover food and provide it to the needy. It is looking to connect with organisations which can collect, store",49,99,74.46808510638297,35,47,"India's food regulator Food Safety and Standards Authority of India (FSSAI) is planning to create a network to collect leftover food and provide it to the needy. It is looking to connect with organisations which can collect, store and distribute leftover food from weddings and large parties. It further added that all food must meet the safety and hygiene standards.","India's food regulator Food Safety and Standards Authority of India (FSSAI) is planning to create a network to collect leftover food and provide it to the needy. It is looking to connect with organisations which can collect, store and distribute leftover food from weddings and large parties.",60,47,0.35,0.7833333333333333,0.7833333333333333,-0.43333333333333335,0.44680851063829785,0.5833333333333334
11,"Harshit Sharma, a class 12 Chandigarh boy, got a hoax job offer call from Google. His mother said that the incident ""devastated"" his life. He got a call, after which he shared the information with the school principal, who sent out a press release.",48,98,95.65217391304348,44,46,"The mother of Harshit Sharma, the class 12 Chandigarh boy who got a hoax job offer call from Google, said that the incident ""devastated"" his life. He got a call, after which he shared the information with the school principal, who sent out a press release. Harshit is hospitalised since Google denied giving him a job, his mother added.","The mother of Harshit Sharma, the class 12 Chandigarh boy who got a hoax job offer call from Google, said that the incident ""devastated"" his life. He got a call, after which he shared the information with the school principal, who sent out a press release.",59,46,0.77,0.7796610169491526,0.7796610169491526,-0.009661016949152557,0.9876086956521739,0.7457627118644068
12,"19 out of 45 commercial building owners have decided to pay property tax instead of providing free parking to the public. MCG earlier offered a property tax waiver for building basements if they were used to provide free parking. However, owners allegedly said that revenues from parking profited them more.",63,113,83.33333333333334,50,60,"Municipal Corporation of Gurugram on Wednesday said that 19 out of 45 commercial building owners have decided to pay property tax instead of providing free parking to the public. Notably, MCG earlier offered a property tax waiver for building basements if they were used to provide free parking. However, the owners allegedly said that revenues from parking profited them more.","Municipal Corporation of Gurugram on Wednesday said that 19 out of 45 commercial building owners have decided to pay property tax instead of providing free parking to the public. Notably, MCG earlier offered a property tax waiver for building basements if they were used to provide free parking. However, the owners allegedly said that revenues from parking profited them more.",60,60,0.8,1.0,1.0,-0.19999999999999996,0.8,0.8333333333333334
13,Scientists successfully freed embryos of a piece of faulty DNA that causes a fatal heart disease to run in families.,25,75,83.33333333333334,20,24,"Scientists, for the first time, successfully freed embryos of a piece of faulty DNA that causes a fatal heart disease to run in families. The disease, called hypertrophic cardiomyopathy, causes the heart to stop suddenly and is the result of an error in a single gene. The breakthrough could lead to preventing 10,000 disorders that are passed down the generations.","Scientists, for the first time, successfully freed embryos of a piece of faulty DNA that causes a fatal heart disease to run in families.",60,24,0.23,0.4,0.4,-0.17,0.575,0.3333333333333333
14,"Home Affairs Minister says 2,297 residential buildings under the Central Public Works Department were found to be ""unsafe"" Another 124 buildings under New Delhi Municipal Council were identified as dangerous. A Union Minister of State for Home Affairs informed the Lok Sabha on Wednesday that the buildings were dangerous.",45,95,113.95348837209302,49,43,"A Union Minister of State for Home Affairs informed the Lok Sabha on Wednesday that Delhi's 2,297 residential buildings under the Central Public Works Department were found to be ""unsafe"". Another 124 buildings under the New Delhi Municipal Council were identified as dangerous. The authorities said that they conduct surveys of unsafe buildings every year and undertake required actions.","A Union Minister of State for Home Affairs informed the Lok Sabha on Wednesday that Delhi's 2,297 residential buildings under the Central Public Works Department were found to be ""unsafe"". Another 124 buildings under the New Delhi Municipal Council were identified as dangerous.",59,43,0.72,0.7288135593220338,0.7288135593220338,-0.00881355932203387,0.987906976744186,0.8305084745762712
15,The Supreme Court today refused to stay the exercise of NOTA (none of the above) option in the Gujarat Rajya Sabha elections scheduled to take place on 8 August. The court was asked whether NOTA would apply to election of council of states.,40,90,110.25641025641026,43,39,The Supreme Court today refused to stay the exercise of NOTA (none of the above) option in the Gujarat Rajya Sabha elections scheduled to take place on 8 August. The SC further said that the issue would be heard as a constitutional question ? whether NOTA would apply to election of council of states. ,The Supreme Court today refused to stay the exercise of NOTA (none of the above) option in the Gujarat Rajya Sabha elections scheduled to take place on 8 August. whether NOTA would apply to election of council of states.,55,39,0.56,0.7222222222222222,0.7090909090909091,-0.14909090909090905,0.7897435897435898,0.7818181818181819
16,"Tanveer Hussain, a 24-year-old Indian athlete from Kashmir, has been indicted in the US on charges of sexually abusing a minor girl. Hussain was on a visit to the US for a snowshoe competition.",33,83,106.25,34,32,"Tanveer Hussain, a 24-year-old Indian athlete from Kashmir, has been indicted in the US on charges of sexually abusing a minor girl, during a visit to the US for a snowshoe competition. An Essex County jury has charged Hussain with one count of first-degree sexual abuse and two counts of endangering the welfare of a child.","Tanveer Hussain, a 24-year-old Indian athlete from Kashmir, has been indicted in the US on charges of sexually abusing a minor girl, during a visit to the US for a snowshoe competition.",56,32,0.43,0.5714285714285714,0.5714285714285714,-0.1414285714285714,0.7525000000000001,0.6071428571428571
17,"Officials later declared the area safe, adding, ""the suspect item was nothing but some spare parts of company Maruti""",19,69,100.0,19,19,"Bomb squads and canine teams were rushed to check a package recovered in the cargo hold area of Delhi airport on Wednesday. Officials later declared the area safe, adding, ""the suspect item was nothing but some spare parts of company Maruti."" Its X-ray image had raised suspicion among airport staff. ","Officials later declared the area safe, adding, ""the suspect item was nothing but some spare parts of company Maruti.""",51,19,0.37,0.38,0.37254901960784315,-0.0025490196078431504,0.993157894736842,0.37254901960784315
18,"Bihar Health Minister Mangal Pandey said he checked the meaning of virgin in dictionary and he didn't find anything objectionable in it. Pandey added that he discussed the issue with the management, who informed him that the format used was same as AIIMS' and was being used since 1983.",63,113,79.03225806451613,49,62,"Defending the IGIMS marital declaration form, Bihar Health Minister Mangal Pandey said he checked the meaning of virgin in dictionary, wherein it meant unmarried woman and he didn't find anything objectionable in it.  Pandey added that he discussed the issue with the management, who informed him that the format used was same as AIIMS' and was being used since 1983.","Defending the IGIMS marital declaration form, Bihar Health Minister Mangal Pandey said he checked the meaning of virgin in dictionary, wherein it meant unmarried woman and he didn't find anything objectionable in it.   Pandey added that he discussed the issue with the management, who informed him that the format used was same as AIIMS' and was being used since 1983.",61,62,0.6,1.0,1.0163934426229508,-0.41639344262295086,0.5903225806451613,0.8032786885245902
19,Anti-immigrant group mistook photo of empty seats for group of women wearing burqas. The photo was shared on the group's Facebook page as a prank.,36,86,71.42857142857143,25,35,"The members of a Norwegian anti-immigrant group have been trolled for mistaking a photograph of six empty bus seats for a group of women wearing burqas. The post, shared on  the closed Facebook group Fedrelandet viktigst (Fatherland first), garnered comments like ""Get them out of our country"" and ""Could be terrorists."" It was shared on the group as a prank.",The members of a Norwegian anti-immigrant group have been trolled for mistaking a photograph of six empty bus seats for a group of women wearing burqas. It was shared on the group as a prank.,61,35,0.47,0.5833333333333334,0.5737704918032787,-0.10377049180327869,0.8191428571428572,0.4098360655737705
20,A newborn boy in Maharashtra's Thane was found to be 'pregnant' with own half-formed twin that was feeding off the boy's blood supply. Doctors said that it was a very rare condition called 'fetus in fetu' with less than 200 such cases recorded till date.,48,98,97.82608695652173,45,46,A newborn boy in Maharashtra's Thane was found to be 'pregnant' with own half-formed twin that was feeding off the boy's blood supply. The doctors said that it was a very rare condition called 'fetus in fetu' with less than 200 such cases recorded till date. The doctors successfully operated to remove the 7-cm fetus that weighed 150 gram.,A newborn boy in Maharashtra's Thane was found to be 'pregnant' with own half-formed twin that was feeding off the boy's blood supply. The doctors said that it was a very rare condition called 'fetus in fetu' with less than 200 such cases recorded till date.,59,46,0.61,0.7796610169491526,0.7796610169491526,-0.1696610169491526,0.782391304347826,0.7627118644067796
21,The North Delhi Municipal Corporation has said that the Ring Road and Aurobindo Marg near AIIMS and Safdarjung Hospitals will be declared a no-hawker zone. The move is aimed at streamlining traffic movement outside the hospitals.,60,110,62.06896551724138,36,58,"The North Delhi Municipal Corporation has said that the Ring Road and Aurobindo Marg near AIIMS and Safdarjung Hospitals will be declared a no-hawker zone. The move is aimed at streamlining traffic movement outside the hospitals so that patients, doctors, and ambulances coming to the medical institutes get easier access and other commuters do not face any hassle. ","The North Delhi Municipal Corporation has said that the Ring Road and Aurobindo Marg near AIIMS and Safdarjung Hospitals will be declared a no-hawker zone. The move is aimed at streamlining traffic movement outside the hospitals so that patients, doctors, and ambulances coming to the medical institutes get easier access and other commuters do not face any hassle.",59,58,0.6,1.0,0.9830508474576272,-0.3830508474576272,0.6103448275862069,0.6101694915254238
22,39 farmers were arrested on Friday for stopping a passenger train and blocking movement on the Delhi-Howrah railway track. Over 400 farmers from Greater Noida and adjoining areas protested.,38,88,78.37837837837837,29,37,Over 400 farmers from Greater Noida and adjoining areas protested in Dadri seeking immediate release of 39 farmers arrested on Friday for stopping a passenger train and blocking movement on the Delhi-Howrah railway track for an hour. The arrested farmers had been demanding more compensation for land being acquired by the government for construction of the Eastern Peripheral Expressway. ,Over 400 farmers from Greater Noida and adjoining areas protested in Dadri seeking immediate release of 39 farmers arrested on Friday for stopping a passenger train and blocking movement on the Delhi-Howrah railway track for an hour.,60,37,0.28,0.6271186440677966,0.6166666666666667,-0.33666666666666667,0.4540540540540541,0.48333333333333334
23,"Investigators say the incident came within a few feet of becoming one of the worst aviation disasters. The Air Canada flight mistakenly descended towards a taxiway, where four planes were parked, instead of the runway before aborting landing.",63,113,63.33333333333333,38,60,"Investigators have released pictures showing how close an Air Canada flight came to crashing onto four planes at a US airport last month. Its pilots mistakenly descended towards a taxiway, where four planes were parked, instead of the runway before aborting the landing. Investigators said the incident came within a few feet of becoming one of the worst aviation disasters.","Investigators have released pictures showing how close an Air Canada flight came to crashing onto four planes at a US airport last month. Its pilots mistakenly descended towards a taxiway, where four planes were parked, instead of the runway before aborting the landing. Investigators said the incident came within a few feet of becoming one of the worst aviation disasters.",60,60,0.66,1.0,1.0,-0.33999999999999997,0.66,0.6333333333333333
24,"Two sunbathers, a 56-year-old man and an eight-year old girl, were killed on Wednesday. The light plane was making an emergency landing at a beach in Portugal. The two occupants of the plane, which appeared to be in difficulty and had a partly broken wing, were unhurt.",63,113,78.33333333333333,47,60,"Two sunbathers, a 56-year-old man and an eight-year-old girl, were killed on Wednesday when a light plane struck them while making an emergency landing at a beach in Portugal. The others had run into the sea to save themselves. The two occupants of the plane, which appeared to be in difficulty and had a partly broken left wing, were unhurt.","Two sunbathers, a 56-year-old man and an eight-year-old girl, were killed on Wednesday when a light plane struck them while making an emergency landing at a beach in Portugal. The others had run into the sea to save themselves. The two occupants of the plane, which appeared to be in difficulty and had a partly broken left wing, were unhurt.",60,60,0.79,1.0,1.0,-0.20999999999999996,0.79,0.7833333333333333
25,"Saudi-led coalition is blocking deliveries of jet fuel to UN planes, officials say. Aid efforts also hampered by delays and refusals of visas by the Yemeni government. The coalition is backing Yemeni government against the Houthi rebels in civil war.",63,113,66.66666666666666,40,60,"The Saudi-led coalition in Yemen is blocking deliveries of jet fuel to UN planes bringing humanitarian aid to the rebel-held capital Sanaa, UN officials said. Aid efforts were also hampered by delays and refusals of visas by the Yemeni government, officials added. The Saudi-led coalition has been involved in Yemen's civil war backing the Yemeni government against the Houthi rebels.","The Saudi-led coalition in Yemen is blocking deliveries of jet fuel to UN planes bringing humanitarian aid to the rebel-held capital Sanaa, UN officials said. Aid efforts were also hampered by delays and refusals of visas by the Yemeni government, officials added. The Saudi-led coalition has been involved in Yemen's civil war backing the Yemeni government against the Houthi rebels.",60,60,0.78,1.0,1.0,-0.21999999999999997,0.78,0.6666666666666666
26,The launch comes amid concerns over North Korea's recent missile tests. The US Air Force successfully launched an unarmed intercontinental ballistic missile from California. It is the fourth such test this year.,48,98,69.56521739130434,32,46,"The US Air Force on Wednesday successfully launched an unarmed intercontinental ballistic missile from California, the fourth such test this year. The test will show the readiness and effectiveness of the weapon system, officials said. The launch comes amid concerns over North Korea which recently tested two intercontinental ballistic missiles which it claims has the range to reach the US. ","The US Air Force on Wednesday successfully launched an unarmed intercontinental ballistic missile from California, the fourth such test this year. The launch comes amid concerns over North Korea which recently tested two intercontinental ballistic missiles which it claims has the range to reach the US.",61,46,0.57,0.7666666666666667,0.7540983606557377,-0.1840983606557377,0.7558695652173912,0.5245901639344263
27,"The remains of a German hiker disappeared while climbing in the Swiss Alps 30 years ago. The remains have been found embedded in a glacier, police officials said.",28,78,103.7037037037037,28,27,"The remains of a German hiker, who disappeared while climbing in the Swiss Alps 30 years ago, have been found embedded in a glacier, police officials said. The remains were found by two people climbing the Lagginhorn mountain, they added. Recently, bodies of a Swiss couple who went missing 75 years ago were found perfectly preserved in the Alps.","The remains of a German hiker, who disappeared while climbing in the Swiss Alps 30 years ago, have been found embedded in a glacier, police officials said.",59,27,0.23,0.4576271186440678,0.4576271186440678,-0.2276271186440678,0.5025925925925926,0.4745762711864407
28,Veteran actor Dilip Kumar has been admitted to Lilavati Hospital in Mumbai. He has been suffering from kidney complications and dehydration.,17,67,123.52941176470588,21,17,"Veteran actor Dilip Kumar has been admitted to Lilavati Hospital in Mumbai, following kidney complications and dehydration. The doctors treating the 94-year-old actor have said that he is stable and currently recuperating in the general ward while adding, ""There is no cause for concern."" The veteran actor had also been hospitalised twice last year due to medical reasons.","Veteran actor Dilip Kumar has been admitted to Lilavati Hospital in Mumbai, following kidney complications and dehydration.",58,17,0.2,0.29310344827586204,0.29310344827586204,-0.09310344827586203,0.6823529411764707,0.3620689655172414
29,"The twelve locations were selected to help conserve different mangrove species, and establish them as international tourism destinations, officials said.",21,71,100.0,20,20,"The Mangrove Society of India has listed Mumbai's two mangrove wetlands? Airoli and Vikhroli, among twelve unique mangrove forests in India. The twelve locations were selected to help conserve different mangrove species, and establish them as international tourism destinations, officials said. ""Mangrove forests can sequester carbon 10 times more than tropical forests,"" they added.","The twelve locations were selected to help conserve different mangrove species, and establish them as international tourism destinations, officials said.",54,20,0.28,0.37037037037037035,0.37037037037037035,-0.09037037037037032,0.7560000000000001,0.37037037037037035
30,Jammu and Kashmir Police have approached the Pakistan High Commission to claim the body of Abu Dujana. This is the first time the authorities have approached them to claim any Pakistani national killed in an anti-militancy operation in the state.,63,113,66.66666666666666,40,60,"Jammu and Kashmir Police have approached the Pakistan High Commission asking them to claim the body of Lashkar-e-Taiba commander Abu Dujana, who was killed by security forces on Tuesday. Notably, this is the first time the authorities have approached the High Commission asking them to claim the body of any Pakistani national killed in an anti-militancy operation in the state.","Jammu and Kashmir Police have approached the Pakistan High Commission asking them to claim the body of Lashkar-e-Taiba commander Abu Dujana, who was killed by security forces on Tuesday. Notably, this is the first time the authorities have approached the High Commission asking them to claim the body of any Pakistani national killed in an anti-militancy operation in the state.",60,60,0.76,1.0,1.0,-0.24,0.76,0.6666666666666666
31,Djana was killed by the security forces on Tuesday after a seven-hour gunfight in south Kashmir's Pulwama district. Eight pilgrims were killed and 18 were injured in the Amarnath Yatra attack last month.,35,85,97.05882352941177,33,34,"Abu Ismail, mastermind of the Amarnath Yatra attack, will reportedly replace Abu Dujana as the Kashmir division chief of Lashkar-e-Taiba (LeT). Dujana was killed by the security forces on Tuesday after a seven-hour gunfight in south Kashmir's Pulwama district. Notably, eight pilgrims were killed and 18 were injured in the Amarnath Yatra attack last month. ","Dujana was killed by the security forces on Tuesday after a seven-hour gunfight in south Kashmir's Pulwama district. Notably, eight pilgrims were killed and 18 were injured in the Amarnath Yatra attack last month.",56,34,0.38,0.6181818181818182,0.6071428571428571,-0.2271428571428571,0.6258823529411766,0.5892857142857143
32,US President Donald Trump told his New Jersey golf club members that he spends so much time away from Washington DC because the White House is a 'real dump',40,90,74.35897435897436,29,39,"Explaining his frequent visits to golf clubs, US President Donald Trump told his New Jersey golf club members that he spends so much time away from Washington DC because the White House is a 'real dump', according to reports. Notably, the White House is the most expensive house in the US and is worth almost $400 million. ","Explaining his frequent visits to golf clubs, US President Donald Trump told his New Jersey golf club members that he spends so much time away from Washington DC because the White House is a 'real dump', according to reports.",58,39,0.42,0.6842105263157895,0.6724137931034483,-0.2524137931034483,0.6246153846153846,0.5
33,"A self-styled email prankster, known as @SINON_REBORN on Twitter, has fooled recently-fired White House Communications Director Anthony Scaramucci thrice. The prankster posed as recently- fired Chief of Staff Reince Priebus, as a Russian envoy and finally as one of his friends.",63,113,68.33333333333333,41,60,"A self-styled email prankster, known as @SINON_REBORN on Twitter, has fooled recently-fired White House Communications Director Anthony Scaramucci thrice. The prankster fooled Scaramucci by posing as recently-fired Chief of Staff Reince Priebus, as a Russian envoy and finally as one of his friends. The prankster said he targeted Scaramucci because he had used mental health issues as a ""put down"".","A self-styled email prankster, known as @SINON_REBORN on Twitter, has fooled recently-fired White House Communications Director Anthony Scaramucci thrice. The prankster fooled Scaramucci by posing as recently-fired Chief of Staff Reince Priebus, as a Russian envoy and finally as one of his friends. The prankster said he targeted Scaramucci because he had used mental health issues as a ""put down"".",60,60,0.74,1.0,1.0,-0.26,0.74,0.6833333333333333
34,Shah has been accused of 65 counts of assault by penetration and 52 allegations of sexual assault. He has also been charged with one count of sex assault on a child under 13.,37,87,91.66666666666666,33,36,"A UK-based doctor, Manish Shah, has been charged with 118 sexual offences, the Metropolitan Police said on Wednesday. Shah has been accused of 65 counts of assault by penetration and 52 allegations of sexual assault, police officials added. He has also been charged with one count of sexual assault on a child under 13.","Shah has been accused of 65 counts of assault by penetration and 52 allegations of sexual assault, police officials added. He has also been charged with one count of sexual assault on a child under 13.",54,36,0.39,0.6666666666666666,0.6666666666666666,-0.2766666666666666,0.5850000000000001,0.6111111111111112
35,Jared Kushner says the campaign was too dysfunctional to collude with Russia. The President's son-in-law and senior adviser claims the team was disorganised.,36,86,65.71428571428571,23,35,"US President Donald Trump's campaign could not have colluded with Russia because the team was too dysfunctional and disorganised to coordinate with a foreign government, the President's son-in-law and senior adviser Jared Kushner has claimed. Notably, Kushner had acknowledged four meetings with Russians during and after Trump's presidential bid and insisted that he had ""nothing to hide"". ","US President Donald Trump's campaign could not have colluded with Russia because the team was too dysfunctional and disorganised to coordinate with a foreign government, the President's son-in-law and senior adviser Jared Kushner has claimed.",58,35,0.53,0.6140350877192983,0.603448275862069,-0.07344827586206892,0.8782857142857143,0.39655172413793105
36,"Ayesha Gulalai, a lawmaker of Pakistan Tehreek-e-Insaf (PTI) party, has accused party leader Imran Khan of harassing women leaders in the party.",30,80,75.86206896551724,22,29,"A woman lawmaker of Pakistan Tehreek-e-Insaf (PTI) party, Ayesha Gulalai, has accused party leader Imran Khan of harassing women leaders in the party and sending them obscene text messages. ""My integrity matters to me the most and I cannot compromise when it comes to my honour and dignity,"" Gulalai said announcing her resignation from the party. ","A woman lawmaker of Pakistan Tehreek-e-Insaf (PTI) party, Ayesha Gulalai, has accused party leader Imran Khan of harassing women leaders in the party and sending them obscene text messages.",57,29,0.46,0.5178571428571429,0.5087719298245614,-0.04877192982456141,0.9041379310344827,0.38596491228070173
37,Harry Potter author falsely accused US President Donald Trump of refusing to shake the hand of a child in a wheelchair during an event last week. JK Rowling has,39,89,76.31578947368422,29,38,Harry Potter author JK Rowling has apologised for a series of tweets in which she falsely accused US President Donald Trump of refusing to shake the hand of a child in a wheelchair during an event last week. Rowling was slammed for not removing the tweets from her social media account after her comments were proved to be incorrect. ,Harry Potter author JK Rowling has apologised for a series of tweets in which she falsely accused US President Donald Trump of refusing to shake the hand of a child in a wheelchair during an event last week.,60,38,0.24,0.6440677966101694,0.6333333333333333,-0.3933333333333333,0.37894736842105264,0.48333333333333334
38,PM1 is reportedly the most dangerous particulate matter. Its presence in the Central Delhi area may be attributed to the huge flow of vehicles since the particulatematter is a product of vehicular pollution.,63,113,55.00000000000001,33,60,"Substantial presence of PM1, reportedly the most dangerous particulate matter, has been found in areas around Delhi's Lodhi Road, a study by System of Air Quality and Weather Forecasting And Research said. Its presence in the Central Delhi area may be attributed to the huge flow of vehicles since the particulate matter is a product of vehicular pollution, reports said. ","Substantial presence of PM1, reportedly the most dangerous particulate matter, has been found in areas around Delhi's Lodhi Road, a study by System of Air Quality and Weather Forecasting And Research said. Its presence in the Central Delhi area may be attributed to the huge flow of vehicles since the particulate matter is a product of vehicular pollution, reports said.",61,60,0.55,1.0,0.9836065573770492,-0.4336065573770491,0.5591666666666667,0.5409836065573771
