,text,text_rank_text,tokens_gesamt,token_text_rank,desired_compression_rate,text_rank_compression_rate,current_compression_rate,compression_difference,reduction_multiplier
10,"A certain man who visited foreign lands could talk of little when he returned to his home except the wonderful adventures he had met with and the great deeds he had done abroad.

One of the feats he told about was a leap he had made in a city Called Rhodes. That leap was so great, he said, that no other man could leap anywhere near the distance. A great many persons in Rhodes had seen him do it and would prove that what he told was true.

""No need of witnesses,"" said one of the hearers. ""Suppose this city is Rhodes. Now show us how far you can jump.""

Deeds count, not boasting words.","That leap was so great, he said, that no other man could leap anywhere near the distance. A great many persons in Rhodes had seen him do it and would prove that what he told was true.

",112,37,0.26,0.3217391304347826,0.33035714285714285,-0.07035714285714284,0.7870270270270271
11,"One day as the Lion walked proudly down a forest aisle, and the animals respectfully made way for him, an Ass brayed a scornful remark as he passed.

The Lion felt a flash of anger. But when he turned his head and saw who had spoken, he walked quietly on. He would not honor the fool with even so much as a stroke of his claws.

Do not resent the remarks of a fool. Ignore them.","One day as the Lion walked proudly down a forest aisle, and the animals respectfully made way for him, an Ass brayed a scornful remark as he passed.

 He would not honor the fool with even so much as a stroke of his claws.

",74,44,0.38,0.5789473684210527,0.5945945945945946,-0.21459459459459462,0.639090909090909
12,"A Lion and an Ass agreed to go hunting together. In their search for game the hunters saw a number of Wild Goats run into a cave, and laid plans to catch them. The Ass was to go into the cave and drive the Goats out, while the Lion would stand at the entrance to strike them down.

The plan worked beautifully. The Ass made such a frightful din in the cave, kicking and braying with all his might, that the Goats came running out in a panic of fear, only to fall victim to the Lion.

The Ass came proudly out of the cave.

""Did you see how I made them run?"" he said.

""Yes, indeed,"" answered the Lion, ""and if I had not known you and your kind I should certainly have run, too.""

The loud-mouthed boaster does not impress nor frighten those who know him.","The Ass was to go into the cave and drive the Goats out, while the Lion would stand at the entrance to strike them down.

 The Ass made such a frightful din in the cave, kicking and braying with all his might, that the Goats came running out in a panic of fear, only to fall victim to the Lion.

",143,60,0.25,0.40540540540540543,0.4195804195804196,-0.16958041958041958,0.5958333333333333
13,"""Away with you, vile insect!"" said a Lion angrily to a Gnat that was buzzing around his head. But the Gnat was not in the least disturbed.

""Do you think,"" he said spitefully to the Lion, ""that I am afraid of you because they call you king?""

The next instant he flew at the Lion and stung him sharply on the nose. Mad with rage, the Lion struck fiercely at the Gnat, but only succeeded in tearing himself with his claws. Again and again the Gnat stung the Lion, who now was roaring terribly. At last, worn out with rage and covered with wounds that his own teeth and claws had made, the Lion gave up the fight.

The Gnat buzzed away to tell the whole world about his victory, but instead he flew straight into a spider's web. And there, he who had defeated the King of beasts came to a miserable end, the prey of a little spider.

The least of our enemies is often the most to be feared.

Pride over a success should not throw us off our guard.","""Away with you, vile insect!"" said a Lion angrily to a Gnat that was buzzing around his head. But the Gnat was not in the least disturbed.

 ""Do you think,"" he said spitefully to the Lion, ""that I am afraid of you because they call you king?""

The next instant he flew at the Lion and stung him sharply on the nose. Mad with rage, the Lion struck fiercely at the Gnat, but only succeeded in tearing himself with his claws. Again and again the Gnat stung the Lion, who now was roaring terribly. At last, worn out with rage and covered with wounds that his own teeth and claws had made, the Lion gave up the fight.

 The Gnat buzzed away to tell the whole world about his victory, but instead he flew straight into a spider's web. And there, he who had defeated the King of beasts came to a miserable end, the prey of a little spider.

",178,159,0.69,0.8743169398907104,0.8932584269662921,-0.20325842696629215,0.7724528301886793
14,"A Lion lay asleep in the forest, his great head resting on his paws. A timid little Mouse came upon him unexpectedly, and in her fright and haste to get away, ran across the Lion's nose. Roused from his nap, the Lion laid his huge paw angrily on the tiny creature to kill her.

""Spare me!"" begged the poor Mouse. ""Please let me go and some day I will surely repay you.""

The Lion was much amused to think that a Mouse could ever help him. But he was generous and finally let the Mouse go.

Some days later, while stalking his prey in the forest, the Lion was caught in the toils of a hunter's net. Unable to free himself, he filled the forest with his angry roaring. The Mouse knew the voice and quickly found the Lion struggling in the net. Running to one of the great ropes that bound him, she gnawed it until it parted, and soon the Lion was free.

""You laughed when I said I would repay you,"" said the Mouse. ""Now you see that even a Mouse can help a Lion.""

A kindness is never wasted.","A timid little Mouse came upon him unexpectedly, and in her fright and haste to get away, ran across the Lion's nose. Roused from his nap, the Lion laid his huge paw angrily on the tiny creature to kill her.

 begged the poor Mouse. ""

The Lion was much amused to think that a Mouse could ever help him. But he was generous and finally let the Mouse go.

 Some days later, while stalking his prey in the forest, the Lion was caught in the toils of a hunter's net. Unable to free himself, he filled the forest with his angry roaring. The Mouse knew the voice and quickly found the Lion struggling in the net. Running to one of the great ropes that bound him, she gnawed it until it parted, and soon the Lion was free.

",188,137,0.62,0.7150259067357513,0.7287234042553191,-0.10872340425531912,0.8508029197080292
15,"A long time ago, the Lion, the Fox, the Jackal, and the Wolf agreed to go hunting together, sharing with each other whatever they found.

One day the Wolf ran down a Stag and immediately called his comrades to divide the spoil.

Without being asked, the Lion placed himself at the head of the feast to do the carving, and, with a great show of fairness, began to count the guests.

""One,"" he said, counting on his claws, ""that is myself the Lion. Two, that's the Wolf, three, is the Jackal, and the Fox makes four.""

He then very carefully divided the Stag into four equal parts.

""I am King Lion,"" he said, when he had finished, ""so of course I get the first part. This next part falls to me because I am the strongest; and this is mine because I am the bravest.""

He now began to glare at the others very savagely. ""If any of you have any claim to the part that is left,"" he growled, stretching his claws meaningly, ""now is the time to speak up.""

Might makes right.","A long time ago, the Lion, the Fox, the Jackal, and the Wolf agreed to go hunting together, sharing with each other whatever they found.

 ""If any of you have any claim to the part that is left,"" he growled, stretching his claws meaningly, ""now is the time to speak up.",177,51,0.23,0.27717391304347827,0.288135593220339,-0.05813559322033898,0.798235294117647
16,"A Lion, an Ass, and a Fox were hunting in company, and caught a large quantity of game. The Ass was asked to divide the spoil. This he did very fairly, giving each an equal share.

The Fox was well satisfied, but the Lion flew into a great rage over it, and with one stroke of his huge paw, he added the Ass to the pile of slain.

Then he turned to the Fox.

""You divide it,"" he roared angrily.

The Fox wasted no time in talking. He quickly piled all the game into one great heap. From this he took a very small portion for himself, such undesirable bits as the horns and hoofs of a mountain goat, and the end of an ox tail.

The Lion now recovered his good humor entirely.

""Who taught you to divide so fairly?"" he asked pleasantly.

""I learned a lesson from the Ass,"" replied the Fox, carefully edging away.

Learn from the misfortunes of others.","A Lion, an Ass, and a Fox were hunting in company, and caught a large quantity of game. The Ass was asked to divide the spoil. This he did very fairly, giving each an equal share.

 The Fox was well satisfied, but the Lion flew into a great rage over it, and with one stroke of his huge paw, he added the Ass to the pile of slain.

 Then he turned to the Fox.

 The Fox wasted no time in talking. He quickly piled all the game into one great heap. From this he took a very small portion for himself, such undesirable bits as the horns and hoofs of a mountain goat, and the end of an ox tail.

 The Lion now recovered his good humor entirely.

 ""I learned a lesson from the Ass,"" replied the Fox, carefully edging away.

",155,141,0.79,0.8650306748466258,0.9096774193548387,-0.11967741935483867,0.8684397163120567
17,"Just as a great Bear rushed to seize a stray kid, a Lion leaped from another direction upon the same prey. The two fought furiously for the prize until they had received so many wounds that both sank down unable to continue the battle.

Just then a Fox dashed up, and seizing the kid, made off with it as fast as he could go, while the Lion and the Bear looked on in helpless rage.

""How much better it would have been,"" they said, ""to have shared in a friendly spirit.""

Those who have all the toil do not always get the profit.","Just as a great Bear rushed to seize a stray kid, a Lion leaped from another direction upon the same prey. The two fought furiously for the prize until they had received so many wounds that both sank down unable to continue the battle.

 Just then a Fox dashed up, and seizing the kid, made off with it as fast as he could go, while the Lion and the Bear looked on in helpless rage.

 ""How much better it would have been,"" they said, ""to have shared in a friendly spirit.",100,91,0.78,0.883495145631068,0.91,-0.13,0.8571428571428571
18,"A Lion and a Man chanced to travel in company through the forest. They soon began to quarrel, for each of them boasted that he and his kind were far superior to the other both in strength and mind.

Now they reached a clearing in the forest and there stood a statue. It was a representation of Heracles in the act of tearing the jaws of the Nemean Lion.

""See,"" said the man, ""that's how strong we are! The King of Beasts is like wax in our hands!""

""Ho!"" laughed the Lion, ""a Man made that statue. It would have been quite a different scene had a Lion made it!""

It all depends on the point of view, and who tells the story.","A Lion and a Man chanced to travel in company through the forest. They soon began to quarrel, for each of them boasted that he and his kind were far superior to the other both in strength and mind.

 Now they reached a clearing in the forest and there stood a statue. It was a representation of Heracles in the act of tearing the jaws of the Nemean Lion.

 It all depends on the point of view, and who tells the story.",119,82,0.59,0.6666666666666666,0.6890756302521008,-0.09907563025210087,0.8562195121951219
19,"A long time ago a Man met a Satyr in the forest and succeeded in making friends with him. The two soon became the best of comrades, living together in the Man's hut. But one cold winter evening, as they were walking homeward, the Satyr saw the Man blow on his fingers.

""Why do you do that?"" asked the Satyr.

""To warm my hands,"" the Man replied.

When they reached home the Man prepared two bowls of porridge. These he placed steaming hot on the table, and the comrades sat down very cheerfully to enjoy the meal. But much to the Satyr's surprise, the Man began to blow into his bowl of porridge.

""Why do you do that?"" he asked.

""To cool my porridge,"" replied the Man.

The Satyr sprang hurriedly to his feet and made for the door.

""Goodby,"" he said, ""I've seen enough. A fellow that blows hot and cold in the same breath cannot be friends with me!""

The man who talks for both sides is not to be trusted by either.","The two soon became the best of comrades, living together in the Man's hut. But one cold winter evening, as they were walking homeward, the Satyr saw the Man blow on his fingers.

 When they reached home the Man prepared two bowls of porridge. These he placed steaming hot on the table, and the comrades sat down very cheerfully to enjoy the meal. But much to the Satyr's surprise, the Man began to blow into his bowl of porridge.

 The Satyr sprang hurriedly to his feet and made for the door.

 A fellow that blows hot and cold in the same breath cannot be friends with me!""

",167,107,0.57,0.6114285714285714,0.6407185628742516,-0.0707185628742516,0.889626168224299
20,"The Weasels and the Mice were always up in arms against each other. In every battle the Weasels carried off the victory, as well as a large number of the Mice, which they ate for dinner next day. In despair the Mice called a council, and there it was decided that the Mouse army was always beaten because it had no leaders. So a large number of generals and commanders were appointed from among the most eminent Mice.

To distinguish themselves from the soldiers in the ranks, the new leaders proudly bound on their heads lofty crests and ornaments of feathers or straw. Then after long preparation of the Mouse army in all the arts of war, they sent a challenge to the Weasels.

The Weasels accepted the challenge with eagerness, for they were always ready for a fight when a meal was in sight. They immediately attacked the Mouse army in large numbers. Soon the Mouse line gave way before the attack and the whole army fled for cover. The privates easily slipped into their holes, but the Mouse leaders could not squeeze through the narrow openings because of their head-dresses. Not one escaped the teeth of the hungry Weasels.

Greatness has its penalties.","So a large number of generals and commanders were appointed from among the most eminent Mice.

To distinguish themselves from the soldiers in the ranks, the new leaders proudly bound on their heads lofty crests and ornaments of feathers or straw. Then after long preparation of the Mouse army in all the arts of war, they sent a challenge to the Weasels.

 The privates easily slipped into their holes, but the Mouse leaders could not squeeze through the narrow openings because of their head-dresses.",202,83,0.29,0.4097560975609756,0.41089108910891087,-0.12089108910891089,0.7057831325301205
21,"A Milkmaid had been out to milk the cows and was returning from the field with the shining milk pail balanced nicely on her head. As she walked along, her pretty head was busy with plans for the days to come.

""This good, rich milk,"" she mused, ""will give me plenty of cream to churn. The butter I make I will take to market, and with the money I get for it I will buy a lot of eggs for hatching. How nice it will be when they are all hatched and the yard is full of fine young chicks. Then when May day comes I will sell them, and with the money I'll buy a lovely new dress to wear to the fair. All the young men will look at me. They will come and try to make love to me,—but I shall very quickly send them about their business!""

As she thought of how she would settle that matter, she tossed her head scornfully, and down fell the pail of milk to the ground. And all the milk flowed out, and with it vanished butter and eggs and chicks and new dress and all the milkmaid's pride.

Do not count your chickens before they are hatched.","Then when May day comes I will sell them, and with the money I'll buy a lovely new dress to wear to the fair. me,—but I shall very quickly send them about their business!""

As she thought of how she would settle that matter, she tossed her head scornfully, and down fell the pail of milk to the ground.",205,58,0.21,0.28365384615384615,0.28292682926829266,-0.07292682926829266,0.7422413793103448
22,"One day, a long time ago, an old Miller and his Son were on their way to market with an Ass which they hoped to sell. They drove him very slowly, for they thought they would have a better chance to sell him if they kept him in good condition. As they walked along the highway some travelers laughed loudly at them.

""What foolishness,"" cried one, ""to walk when they might as well ride. The most stupid of the three is not the one you would expect it to be.""

The Miller did not like to be laughed at, so he told his son to climb up and ride.

They had gone a little farther along the road, when three merchants passed by.

""Oho, what have we here?"" they cried. ""Respect old age, young man! Get down, and let the old man ride.""

Though the Miller was not tired, he made the boy get down and climbed up himself to ride, just to please the Merchants.

At the next turnstile they overtook some women carrying market baskets loaded with vegetables and other things to sell.

""Look at the old fool,"" exclaimed one of them. ""Perched on the Ass, while that poor boy has to walk.""

The Miller felt a bit vexed, but to be agreeable he told the Boy to climb up behind him.

They had no sooner started out again than a loud shout went up from another company of people on the road.

""What a crime,"" cried one, ""to load up a poor dumb beast like that! They look more able to carry the poor creature, than he to carry them.""

""They must be on their way to sell the poor thing's hide,"" said another.

The Miller and his Son quickly scrambled down, and a short time later, the market place was thrown into an uproar as the two came along carrying the Donkey slung from a pole. A great crowd of people ran out to get a closer look at the strange sight.

The Ass did not dislike being carried, but so many people came up to point at him and laugh and shout, that he began to kick and bray, and then, just as they were crossing a bridge, the ropes that held him gave way, and down he tumbled into the river.

The poor Miller now set out sadly for home. By trying to please everybody, he had pleased nobody, and lost his Ass besides.

If you try to please all, you please none.","One day, a long time ago, an old Miller and his Son were on their way to market with an Ass which they hoped to sell. They drove him very slowly, for they thought they would have a better chance to sell him if they kept him in good condition. The most stupid of the three is not the one you would expect it to be. ""

The Miller did not like to be laughed at, so he told his son to climb up and ride.

 They had gone a little farther along the road, when three merchants passed by.

 ""

Though the Miller was not tired, he made the boy get down and climbed up himself to ride, just to please the Merchants.

 At the next turnstile they overtook some women carrying market baskets loaded with vegetables and other things to sell.

 ""Perched on the Ass, while that poor boy has to walk. ""

The Miller felt a bit vexed, but to be agreeable he told the Boy to climb up behind him.

 They had no sooner started out again than a loud shout went up from another company of people on the road.

 They look more able to carry the poor creature, than he to carry them. ""

""They must be on their way to sell the poor thing's hide,"" said another.

 The Ass did not dislike being carried, but so many people came up to point at him and laugh and shout, that he began to kick and bray, and then, just as they were crossing a bridge, the ropes that held him gave way, and down he tumbled into the river.

",404,271,0.52,0.6563245823389021,0.6707920792079208,-0.15079207920792081,0.7752029520295203
23,"There was once a Dog who was so ill-natured and mischievous that his Master had to fasten a heavy wooden clog about his neck to keep him from annoying visitors and neighbors. But the Dog seemed to be very proud of the clog and dragged it about noisily as if he wished to attract everybody's attention. He was not able to impress anyone.

""You would be wiser,"" said an old acquaintance, ""to keep quietly out of sight with that clog. Do you want everybody to know what a disgraceful and ill-natured Dog you are?""

Notoriety is not fame.",But the Dog seemed to be very proud of the clog and dragged it about noisily as if he wished to attract everybody's attention.,96,24,0.24,0.24489795918367346,0.25,-0.010000000000000009,0.96
24,"A Miser had buried his gold in a secret place in his garden. Every day he went to the spot, dug up the treasure and counted it piece by piece to make sure it was all there. He made so many trips that a Thief, who had been observing him, guessed what it was the Miser had hidden, and one night quietly dug up the treasure and made off with it.

When the Miser discovered his loss, he was overcome with grief and despair. He groaned and cried and tore his hair.

A passerby heard his cries and asked what had happened.

""My gold! O my gold!"" cried the Miser, wildly, ""someone has robbed me!""

""Your gold! There in that hole? Why did you put it there? Why did you not keep it in the house where you could easily get it when you had to buy things?""

""Buy!"" screamed the Miser angrily. ""Why, I never touched the gold. I couldn't think of spending any of it.""

The stranger picked up a large stone and threw it into the hole.

""If that is the case,"" he said, ""cover up that stone. It is worth just as much to you as the treasure you lost!""

A possession is worth no more than the use we make of it.","Every day he went to the spot, dug up the treasure and counted it piece by piece to make sure it was all there. He made so many trips that a Thief, who had been observing him, guessed what it was the Miser had hidden, and one night quietly dug up the treasure and made off with it.

 Why did you not keep it in the house where you could easily get it when you had to buy things?""

""Buy!"" screamed the Miser angrily. ""Why, I never touched the gold.",209,89,0.31,0.4147465437788018,0.4258373205741627,-0.11583732057416268,0.7279775280898876
25,"A little Mole once said to his Mother:

""Why, Mother, you said I was blind! But I am sure I can see!""

Mother Mole saw she would have to get such conceit out of his head. So she put a bit of frankincense before him and asked him to tell what it was.

The little Mole peered at it.

""Why, that's a pebble!""

""Well, my son, that proves you've lost your sense of smell as well as being blind.""

Boast of one thing and you will be found lacking in that and a few other things as well.","So she put a bit of frankincense before him and asked him to tell what it was.

 ""Why, that's a pebble!""

""Well, my son, that proves you've lost your sense of smell as well as being blind.",92,36,0.35,0.37755102040816324,0.391304347826087,-0.041304347826086996,0.8944444444444444
26,"At a great celebration in honor of King Lion, the Monkey was asked to dance for the company. His dancing was very clever indeed, and the animals were all highly pleased with his grace and lightness.

The praise that was showered on the Monkey made the Camel envious. He was very sure that he could dance quite as well as the Monkey, if not better, so he pushed his way into the crowd that was gathered around the Monkey, and rising on his hind legs, began to dance. But the big hulking Camel made himself very ridiculous as he kicked out his knotty legs and twisted his long clumsy neck. Besides, the animals found it hard to keep their toes from under his heavy hoofs.

At last, when one of his huge feet came within an inch of King Lion's nose, the animals were so disgusted that they set upon the Camel in a rage and drove him out into the desert.

Shortly afterward, refreshments, consisting mostly of Camel's hump and ribs, were served to the company.

Do not try to ape your betters.","He was very sure that he could dance quite as well as the Monkey, if not better, so he pushed his way into the crowd that was gathered around the Monkey, and rising on his hind legs, began to dance. At last, when one of his huge feet came within an inch of King Lion's nose, the animals were so disgusted that they set upon the Camel in a rage and drove him out into the desert.

",180,77,0.22,0.41847826086956524,0.42777777777777776,-0.20777777777777776,0.5142857142857143
